Feature,Value,Description
ZN,18.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,12.5,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,12.5,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,12.5,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,12.5,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,12.5,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,12.5,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,12.5,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,21.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,21.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,21.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,21.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,25.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,25.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,25.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,25.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,25.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,25.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,17.5,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,12.5,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,12.5,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,12.5,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,25.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,25.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,25.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,25.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,28.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,28.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,28.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,31.25,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
ZN,0.0,"Proportion of residential land zoned for lots over 25,000 sq.ft."
